Year,Bud break red oak,Leaf out red oak,Leaf coloration red oak,Bud break red maple,Leaf out red maple,Leaf coloration red maple,Bud break hardwood,Leaf out hardwood,Leaf coloration hardwood,Bud break hemlock,Leaf out hemlock,Leaf coloration hemlock
1992,137.5,185.25,297,135.8,187.6,277.8,136.65,186.425,287.4,148,187.3333333,NaN
1993,125,146,285.5,122,157,274,123.5,151.5,279.75,141.6666667,162,291
1994,134.5,160.75,277.5,132.4,159.4,266.4,133.45,160.075,271.95,148.3333333,180,267.3333333
1995,134,158.75,277.25,131.6,156,265.6,132.8,157.375,271.425,145.3333333,168,264
1996,137,163.5,286.5,125.8,159.4,270.2,131.4,161.45,278.35,150.6666667,180,279.6666667
1997,137.25,168.75,281,135,165.6,271.8,136.125,167.175,276.4,154,184.3333333,264.6666667
1998,125,158,276.5,120.8,159.8,263.6,122.9,158.9,270.05,140,183,270
1999,128,159.25,282,127.8,158.2,270.6,127.9,158.725,276.3,143,183.6666667,290.6666667
2000,129.75,178.25,282.75,130.8,170.8,270.4,130.275,174.525,276.575,143,185,262
2001,122.75,166.75,284.5,123.8,161.2,266.6,123.275,163.975,275.55,150,177,248
2002,120.75,170.5,288.25,127,166,269,123.875,168.25,278.625,NaN,NaN,NaN
2003,137.5,171,286,134.6,167.2,269.2,136.05,169.1,277.6,NaN,NaN,NaN
2004,126.5,166,285.75,128.2,160.2,268.4,127.35,163.1,277.075,NaN,NaN,NaN
2005,127,174.5,287.5,129.2,171,272.6,128.1,172.75,280.05,NaN,NaN,NaN
2006,130.25,168.5,278.25,130.6,165.2,263.8,130.425,166.85,271.025,NaN,NaN,NaN
2007,130.25,172.5,279,130.6,165,264.2,130.425,168.75,271.6,NaN,NaN,NaN
2008,122.5,170,282,128,167.2,268,125.25,168.6,275,NaN,NaN,NaN
2009,121.75,162.5,284.75,124.2,160.4,261.8,122.975,161.45,273.275,NaN,NaN,NaN
Mean,129.2916667,166.7083333,283.4444444,128.7888889,164.2888889,268.5555556,129.0402778,165.4986111,276,146.4,179.0333333,270.8148148
