Year,Deciduous,Hemlock,Mixed,Red pine plantation,Wetlands,Deciduous-rock&basal area adjusted,Hemlock-rock&basal area adjusted,Mixed-rock&basal area adjusted,Red pine plantation-rock&basal area adjusted,Wetlands-rock&basal area adjusted
1992,987.2266894,922.6730657,911.2771617,1028.42507,699.7122363,912.6869663,853.0074098,842.471944,950.7746976,646.8810508
1993,717.3179052,666.0370291,668.8149066,730.8017894,522.5238292,663.1574185,615.7484619,618.3165981,675.6232133,483.0711058
1994,907.6587947,846.7967796,840.0440637,939.773441,648.657478,839.1267788,782.8600991,776.6172413,868.8166356,599.6811392
1995,845.0069408,787.0819285,783.9222723,870.1174869,608.2341029,781.2054006,727.6539677,724.7328787,804.419996,562.3098972
1996,810.7880037,754.6617031,753.0202408,832.9234241,585.0945762,749.5701356,697.6816042,696.1640791,770.0342396,540.917501
1997,696.5218396,646.5850638,649.7013308,709.2420824,507.2551445,643.9315424,597.7652009,600.6461768,655.6913539,468.9552703
1998,813.5803846,757.0355924,755.8239655,834.8153885,588.5248658,752.1516802,699.8762551,698.756111,771.7833529,544.0887895
1999,884.6390944,824.5759979,819.6029775,913.1205522,635.388095,817.8451616,762.3170789,757.7195422,844.1761508,587.4136499
2000,752.3916052,699.1232096,700.6417708,768.4144252,546.8089971,695.5829082,646.3364981,647.7404016,710.3959386,505.5226425
2001,717.2942595,666.01456,668.7475889,730.7918372,522.5853515,663.1355581,615.7276893,618.2543631,675.6140126,483.1279829
2002,808.8755674,752.6746296,751.4930444,830.076507,584.8267386,747.8020962,695.844563,694.7521925,767.4022767,540.6698863
2003,830.33581,773.0960726,770.7706235,853.8135467,598.7711803,767.6420012,714.7241022,712.5742341,789.3470711,553.5614646
2004,793.4506732,738.1009968,737.3926303,813.5277393,574.3754039,733.5418456,682.3713002,681.7164183,752.1030098,531.0076708
2005,846.47471,788.5963753,784.8650461,872.3594151,608.8684631,782.5623471,729.0540675,725.6044692,806.4926492,562.8963606
2006,812.2229888,755.5999081,754.9451701,832.6146438,588.1993058,750.8967734,698.5489709,697.9436683,769.7487735,543.7878106
2007,761.6580792,708.0479421,708.6962501,779.1407501,552.5657686,704.1497248,654.5873761,655.1867342,720.3123813,510.8447538
2008,779.3941865,724.417213,725.4314672,796.5731596,566.3776314,720.5466822,669.720699,670.6583728,736.4285713,523.6137634
2009,800.0946249,744.0609886,744.118189,819.1667295,580.229666,739.6841514,687.8812878,687.9341693,757.3162328,536.4199118
