sample.id,warming.treatment,plot,soil,aromatic,lignin,lipid,polysaccharide,nbearing,protein,phenol,unknown.origin
TES121,H,1,Organic,0.09,0.14,0.36,0.18,0.05,0.04,0.01,0.14
TES122,H,1,Mineral,0.17,0.02,0.3,0.2,0.04,0.09,0.03,0.16
TES123,C,3,Organic,0.1,0.19,0.23,0.16,0.03,0.04,0.01,0.24
TES124,C,3,Mineral,0.13,0.04,0.19,0.37,0.05,0.07,0.02,0.14
TES125,H,6,Organic,0.08,0.09,0.19,0.28,0.03,0.05,0.01,0.26
TES126,H,6,Mineral,0.16,0.01,0.27,0.2,0.04,0.1,0.02,0.2
TES127,C,5,Organic,0.09,0.23,0.16,0.31,0.08,0.03,0.01,0.09
TES128,C,5,Mineral,0.17,0.03,0.13,0.27,0.05,0.11,0.02,0.21
TES129,H,8,Organic,0.14,0.13,0.16,0.26,0.07,0.08,0.02,0.14
TES130,H,8,Mineral,0.13,0.01,0.19,0.35,0.05,0.1,0.01,0.16
TES131,C,9,Organic,0.08,0.18,0.19,0.27,0.08,0.04,0.01,0.15
TES132,C,9,Mineral,0.1,0.07,0.13,0.37,0.07,0.07,0.02,0.17
TES133,H,12,Organic,0.13,0.18,0.2,0.16,0.05,0.04,0.02,0.22
TES134,H,12,Mineral,0.16,0.02,0.21,0.26,0.04,0.09,0.02,0.21
TES135,C,10,Organic,0.09,0.14,0.22,0.23,0.06,0.07,0.01,0.18
TES136,C,10,Mineral,0.15,0.04,0.17,0.31,0.07,0.09,0.02,0.14
TES137,H,15,Organic,0.09,0.19,0.15,0.3,0.08,0.06,0.01,0.13
TES138,H,15,Mineral,0.18,0.03,0.25,0.2,0.03,0.09,0.02,0.2
TES139,C,13,Organic,0.11,0.19,0.21,0.22,0.05,0.03,0.02,0.18
TES140,C,13,Mineral,0.17,0.01,0.24,0.24,0.03,0.08,0.03,0.21
TES141,H,16,Organic,0.07,0.16,0.16,0.36,0.1,0.04,0.01,0.1
TES142,H,16,Mineral,0.16,0.01,0.17,0.27,0.06,0.15,0.02,0.16
TES143,C,17,Organic,0.07,0.13,0.11,0.36,0.08,0.06,0.01,0.18
TES144,C,17,Mineral,0.11,0.03,0.17,0.37,0.05,0.1,0.02,0.15
