sample.id,weight,n,c,fraction
101A,1.05,1.195,26.239,CPOM
103A,1.172,0.962,28.029,CPOM
104A,1.956,1.408,33.677,CPOM
104A,2.049,1.32,33.005,CPOM
109A,1.949,1.579,39.659,CPOM
114A,1.518,1.259,35.574,CPOM
115A,1.475,1.182,29.912,CPOM
116A,1.211,1.115,26.338,CPOM
117A,1.748,1.3,37.729,CPOM
118A,1.714,1.112,27.05,CPOM
119A,1.933,1.482,41.321,CPOM
122A,2.111,1.299,32.532,CPOM
124A,1.76,1.389,38.238,CPOM
101A,1.453,1.387,30.255,FPOM
103A,1.277,0.811,18.141,FPOM
104A,1.495,1.501,31.763,FPOM
109A,1.802,1.56,33.429,FPOM
114A,1.233,1.484,34.651,FPOM
115A,1.115,1.247,25.983,FPOM
116A,1.596,1.395,31.267,FPOM
117A,1.117,1.39,32.826,FPOM
118A,1.72,1.286,32.749,FPOM
119A,1.671,1.517,39.497,FPOM
122A,1.979,1.309,28.963,FPOM
124A,1.515,1.485,33.773,FPOM
101A,8.395,0.085,1.172,MOM
101A,8.195,0.067,1.191,MOM
103A,8.54,0.17,3.166,MOM
104A,8.449,0.097,1.343,MOM
109A,8.153,0.125,1.899,MOM
114A,8.027,0.17,3.077,MOM
115A,8.419,0.153,2.472,MOM
116A,7.625,0.176,2.909,MOM
116A,8.472,0.158,3.06,MOM
117A,7.575,0.195,3.143,MOM
118A,7.566,0.229,4.293,MOM
119A,8.006,0.149,2.398,MOM
122A,8.464,0.139,2.302,MOM
124A,8.477,0.084,1.08,MOM
104A,1.433,1.069,21.322,OPOM
109A,1.087,1.254,25.419,OPOM
114A,1.208,1.409,31.441,OPOM
115A,1.095,1.629,32.914,OPOM
115A,1.417,1.421,31.214,OPOM
116A,1.146,1.404,28.997,OPOM
117A,1.278,1.599,33.992,OPOM
118A,1.558,1.176,25.168,OPOM
119A,1.167,1.365,32.137,OPOM
122A,1.576,1.472,31.795,OPOM
122A,1.333,2.278,50.089,OPOM
124A,1.033,1.277,25.422,OPOM
124A,1.006,3.512,91.365,OPOM
